Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
θ2 Ori B,θ2,43,,37042,,05h 35m 26.40s,−05° 25′ 00.7″,6.38,,1895,B2-B5,component of the θ2 Ori system; suspected variable
HD 43335,,,,43335,29798,06h 16m 23.79s,+17° 10′ 53.9″,6.39,-0.35,728,K5II,
HD 34880,,,,34880,24925,05h 20m 26.41s,−05° 22′ 03.1″,6.4,-0.19,679,B8III,
V1377 Ori,,,V1377,37055,26263,05h 35m 35.90s,−03° 15′ 10.2″,6.4,-3.12,2608,B3IV,slowly pulsating B star
HD 35656,,,,35656,25453,05h 26m 38.82s,+06° 52′ 07.5″,6.41,1.55,305,A0Vn,
HD 35912,,,,35912,25582,05h 28m 01.47s,+01° 17′ 53.7″,6.41,-1.35,1160,B2V,
HD 37904,,,,37904,26820,05h 41m 40.31s,−02° 53′ 47.5″,6.41,1.8,273,A9IV-V,suspected variable
HD 31423,,,,31423,22938,04h 56m 09.02s,+07° 54′ 17.3″,6.42,2.57,192,F5,
HD 34317,,,,34317,24607,05h 16m 41.05s,+01° 56′ 50.4″,6.42,0.07,608,A0V,"variable star, Δ*V* = 0.008m, *P* = 1.75 d"
HD 34878,,,,34878,24960,05h 20m 43.74s,+02° 32′ 41.0″,6.43,0.91,415,G8IV,
V1357 Ori,,,V1357,42807,29525,06h 13m 12.46s,+10° 37′ 40.3″,6.44,5.15,59,G8V,"RS CVn variable, *V*max = 6.44m, *V*min = 6.49m"
HD 35575,,,,35575,25368,05h 25m 36.50s,−01° 29′ 28.7″,6.44,-0.49,791,B3V,
HD 32273,,,,32273,23419,05h 02m 00.03s,+01° 36′ 31.8″,6.45,0.49,508,B8V,suspected variable
HD 36814,,,,36814,26104,05h 34m 02.48s,−07° 01′ 25.1″,6.45,0,637,K0,
V1389 Ori,,,V1389,42787,29509,06h 12m 59.57s,+06° 00′ 58.6″,6.45,-0.24,709,M...,semiregular variable
HD 37808,,,,37808,26728,05h 40m 46.19s,−10° 24′ 31.2″,6.46,0.38,536,B9.5IIIp Si,
V1369 Ori,,,V1369,34959,25011,05h 21m 19.31s,+04° 00′ 43.1″,6.49,-1.42,1244,B5Vp,Be star
HD 36150,,,,36150,25732,05h 29m 41.59s,−00° 48′ 08.7″,6.49,1.09,391,A2,variable star
HD 37635,,,,37635,26623,05h 39m 30.84s,−09° 42′ 23.8″,6.49,0.29,566,B7V,
HD 31411,,,,31411,22923,04h 55m 58.36s,+05° 23′ 56.6″,6.5,0.62,489,A0V,
HD 37150,,,,37150,26314,05h 36m 15.03s,−05° 38′ 52.5″,6.51,,1270,B3Vv,suspected variable
HD 37808,,,V1051,37808,26728,05h 40m 46.19s,−10° 24′ 31.19″,6.52,,793,B9.5IIIsp...,"α2 CVn variable, Δ*V* = 0.02m, *P* = 1.10 d"
HD 37017,,,V1046,37017,26233,05h 35m 21.87s,−04° 29′ 39.02″,6.56,,1240,B1.5V,"eclipsing binary and SX Ari variable, *V*max = 6.54m, *V*min = 6.58m, *P* = 
0.95 d"
σ Ori E,σ,48,V1030,37479,,05h 38m 47.19s,−02° 35′ 40.5″,6.61,,1148,B2Vp,"component of the σ Ori system; prototype helium-rich star; SX Ari variable, 
*V*max = 6.61m, *V*min = 6.77m, *P* = 1.19 d"
